"Job","Location","Salary","Status","Experience","Perusahaan"
"Data Scientist","Jakarta","5000000","Contract","1","PT. Java Energy Semesta"
"Data Scientist","Jakarta","7750000","Full-Time","2","PT Steradian Data Optima"
"Data Scientist","Jakarta","10000000","Full-Time","3","Fresh Factory"
"Data Scientist","Jakarta","13000000","Full-Time","3","PT. Avows Technologies"
"Data Scientist","Jakarta","13000000","Contract","3","PT. Avows Technologies"
"Data Scientist","Yogyakarta","14000000","Full-Time","3","Mindo Management Solutions"
"Data Scientist","Jakarta","15000000","Full-Time","3","eduCLaaS"
"Data Scientist","Yogyakarta","7000000","Full-Time","1","Mindo Management Solutions"
"Data Scientist","Yogyakarta","4500000","Contract","1","Mindo Management Solutions"
"Data Scientist","Jakarta","5500000","Full-Time","1","PT. Infomedia Nusantara (Telkom Group)"
"Data Scientist","Jakarta","5500000","Contract","1","PT. Infomedia Nusantara (Telkom Group)"
"Data Scientist","Jakarta","13500000","Full-Time","2","DELOS Aqua"
"Data Scientist","Jakarta","15851280","Full-Time","2","Globelise"
"Data Scientist","Jakarta","13715449","Contract","2","Globelise"
"Data Scientist","Jakarta","15000000","Full-Time","3","Perqara "
"Data Scientist","Jakarta","2500000","Full-Time","2","Virtue Consulting Partners"
"Data Scientist","Jakarta","6000000","Full-Time","1","Aria "
"Data Scientist","Bandung","6000000","Full-Time","1","Prosa.ai"
"Data Scientist","Jakarta","15000000","Full-Time","2","Ogya Tekno Nusantara"
"Data Scientist","Jakarta","20000000","Full-Time","3","Orang Tua Group"
"Data Scientist","Jakarta","6250000","Full-Time","2","Lolab Indonesia"
"Data Scientist","Semarang","2500000","Full-Time","1","Unitek Solusi"
"Data Scientist","Jakarta","9000000","Full-Time","2","Thinkmatch "
"Data Scientist","Jakarta","7000000","Full-Time","2","PT HIGO FITUR INDONESIA "
"Data Scientist","Jakarta","6000000","Full-Time","1","PT Abadi Rajawali Semesta "
"Data Scientist","Semarang","2500000","Full-Time","1","Unitek Solusi "
"Data Scientist","Jakarta","1000000","Full-Time","1","PT Qverse Teknologi Indonesia "
"Data Scientist","Jakarta","7000000","Full-Time","2","SIGMATECH"
"Data Scientist","Jakarta","6000000","Full-Time","1","PT. DVS Rheem "
"Data Scientist","Jakarta","15000000","Full-Time","3","PT Media Telekomunikasi Mandiri"
"Data Scientist","Jakarta","40000000","Full-Time","5","Confidential Company"
"Data Scientist","Jakarta","5000000","Full-Time","1","PT. Ebdesk Teknologi"
"Data Scientist","Jakarta","6500000","Full-Time","1","PT Semesta Energi Services"
"Data Scientist","Jakarta","7000000","Full-Time","1","Perqara "
"Data Scientist","Jakarta","17000000","Full-Time","3","Reeracoen Indonesia"
"Data Scientist","Jakarta","11000000","Full-Time","2","PT. ALL DATA INTERNATIONAL"
"Data Scientist","Jakarta","5500000","Full-Time","1","Asa Ren Pte Ltd"
"Data Scientist","Jakarta","6750000","Full-Time","2","Asa Ren Pte Ltd"
"Data Scientist","Jakarta","8000000","Full-Time","3","Asa Ren Pte Ltd"
"Data Scientist","Jakarta","15000000","Full-Time","2","Reeracoen Indonesia"
"Data Scientist","Jakarta","10000000","Full-Time","1","PT. Avows Technologies"
"Data Scientist","Jakarta","11000000","Full-Time","2","Tokopedia"
"Data Scientist","Jakarta","15162840","Full-Time","2","Bukalapak"
"Data Scientist","Jakarta","1718894","Contract","1","Telkom Indonesia"
"Data Scientist","Jakarta","15238659","Full-Time","2","Telkom Indonesia"
"Data Scientist","Jakarta","97874628","Full-Time","2","Astra International"
"Data Scientist","Jakarta","19449963","Full-Time","3","Gojek"
"Data Scientist","Jakarta","26567737","Full-Time","2","Telkomsel"
"Data Scientist","Jakarta","24966667","Full-Time","2","Traveloka"
"Data Scientist","Jakarta","9921595","Full-Time","1","Sharing Vision"
"Data Scientist","Jakarta","5204374","Full-Time","2","Shopee"
"Data Scientist","Jakarta","2000000","Full-Time","1","Bank Rakyat Indonesia "
"Data Scientist","Jakarta","16000000","Full-Time","2","FinAccel"
